Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.2959314940739542,90.66833333333332,0.055548392117871,98.11
2,0.11879105335657499,96.345,0.036977311503308956,98.83
3,0.09486834888856834,97.075,0.02632878758470197,99.1
4,0.08052252422817655,97.52333333333333,0.03260817005235124,98.85000000000001
5,0.07085019387061527,97.88333333333334,0.027313053565594138,99.13
6,0.06246266078758937,98.08666666666667,0.020701065374300838,99.22
7,0.057145392341139134,98.27333333333334,0.023455513308061917,99.28
8,0.05658896539643504,98.27333333333334,0.01998580250844366,99.32
9,0.05524820252855334,98.315,0.021715262192087227,99.27
10,0.05314734299269531,98.42833333333333,0.02149616352182281,99.37
